OrderDate,Region,City,Category,Product,Quantity,UnitPrice,TotalPrice
13/9/2020,East,Boston,Snacks,Pretzels,27,3.15,85.05
16/9/2020,West,Los Angeles,Bars,Carrot,133,1.77,235.41
19/9/2020,East,New York,Cookies,Arrowroot,110,2.18,239.8
22/9/2020,East,New York,Cookies,Chocolate Chip,65,1.87,121.55
25/9/2020,West,San Diego,Bars,Bran,33,1.87,61.71
28/9/2020,East,Boston,Cookies,Arrowroot,81,2.18,176.58
1/10/2020,East,Boston,Bars,Carrot,77,1.77,136.29
4/10/2020,East,Boston,Crackers,Whole Wheat,38,3.49,132.62
7/10/2020,West,Los Angeles,Bars,Carrot,40,1.77,70.8
10/10/2020,West,Los Angeles,Snacks,Potato Chips,114,1.68,191.52
13/10/2020,East,New York,Cookies,Arrowroot,224,2.18,488.32
16/10/2020,East,New York,Bars,Carrot,141,1.77,249.57
19/10/2020,East,New York,Crackers,Whole Wheat,32,3.49,111.68
22/10/2020,West,San Diego,Bars,Carrot,20,1.77,35.4
25/10/2020,East,Boston,Cookies,Arrowroot,40,2.18,87.2
28/10/2020,East,Boston,Cookies,Chocolate Chip,49,1.87,91.63
31/10/2020,East,Boston,Crackers,Whole Wheat,46,3.49,160.54
3/11/2020,West,Los Angeles,Bars,Carrot,39,1.77,69.03
6/11/2020,West,Los Angeles,Snacks,Potato Chips,62,1.68,104.16
9/11/2020,East,New York,Bars,Carrot,90,1.77,159.3
12/11/2020,West,San Diego,Cookies,Arrowroot,103,2.18,224.54
15/11/2020,West,San Diego,Cookies,Oatmeal Raisin,32,2.84,90.88
18/11/2020,East,Boston,Bars,Bran,66,1.87,123.42
21/11/2020,East,Boston,Cookies,Oatmeal Raisin,97,2.84,275.48
24/11/2020,West,Los Angeles,Bars,Carrot,30,1.77,53.1
27/11/2020,West,Los Angeles,Snacks,Potato Chips,29,1.68,48.72
30/11/2020,East,New York,Bars,Carrot,92,1.77,162.84
3/12/2020,West,San Diego,Cookies,Arrowroot,139,2.18,303.02
6/12/2020,West,San Diego,Cookies,Oatmeal Raisin,29,2.84,82.36
9/12/2020,East,Boston,Bars,Banana,30,2.27,68.1
12/12/2020,East,Boston,Cookies,Chocolate Chip,36,1.87,67.32
15/12/2020,East,Boston,Crackers,Whole Wheat,41,3.49,143.09
18/12/2020,West,Los Angeles,Bars,Carrot,44,1.77,77.88
21/12/2020,West,Los Angeles,Snacks,Potato Chips,29,1.68,48.72
24/12/2020,East,New York,Cookies,Arrowroot,237,2.18,516.66
27/12/2020,East,New York,Cookies,Chocolate Chip,65,1.87,121.55
30/12/2020,West,San Diego,Cookies,Arrowroot,83,2.18,180.94
2/1/2021,East,Boston,Cookies,Arrowroot,32,2.18,69.76
5/1/2021,East,Boston,Bars,Carrot,63,1.77,111.51
8/1/2021,East,Boston,Snacks,Pretzels,29,3.15,91.35
11/1/2021,West,Los Angeles,Bars,Bran,77,1.87,143.99
14/1/2021,West,Los Angeles,Cookies,Oatmeal Raisin,80,2.84,227.2
17/1/2021,East,New York,Bars,Carrot,102,1.77,180.54
20/1/2021,East,New York,Crackers,Whole Wheat,31,3.49,108.19
23/1/2021,West,San Diego,Bars,Carrot,56,1.77,99.12
26/1/2021,East,Boston,Cookies,Arrowroot,52,2.18,113.36
29/1/2021,East,Boston,Bars,Carrot,51,1.77,90.27
1/2/2021,East,Boston,Snacks,Potato Chips,24,1.68,40.32
4/2/2021,West,Los Angeles,Cookies,Arrowroot,58,2.18,126.44
7/2/2021,West,Los Angeles,Cookies,Chocolate Chip,34,1.87,63.58
10/2/2021,East,New York,Bars,Carrot,34,1.77,60.18
13/2/2021,East,New York,Snacks,Potato Chips,21,1.68,35.28
16/2/2021,West,San Diego,Cookies,Oatmeal Raisin,29,2.84,82.36
19/2/2021,East,Boston,Bars,Carrot,68,1.77,120.36
22/2/2021,East,Boston,Snacks,Pretzels,31,3.15,97.65
25/2/2021,West,Los Angeles,Cookies,Arrowroot,30,2.18,65.4
28/2/2021,West,Los Angeles,Cookies,Chocolate Chip,232,1.87,433.84
2/3/2021,East,New York,Bars,Bran,68,1.87,127.16
5/3/2021,East,New York,Cookies,Oatmeal Raisin,97,2.84,275.48
8/3/2021,West,San Diego,Bars,Bran,86,1.87,160.82
11/3/2021,West,San Diego,Snacks,Potato Chips,41,1.68,68.88
14/3/2021,East,Boston,Bars,Carrot,93,1.77,164.61
17/3/2021,East,Boston,Snacks,Potato Chips,47,1.68,78.96
20/3/2021,West,Los Angeles,Bars,Carrot,103,1.77,182.31
23/3/2021,West,Los Angeles,Snacks,Potato Chips,33,1.68,55.44
26/3/2021,East,New York,Bars,Bran,57,1.87,106.59
29/3/2021,East,New York,Cookies,Oatmeal Raisin,65,2.84,184.6
1/4/2021,West,San Diego,Bars,Carrot,118,1.77,208.86
4/4/2021,East,Boston,Cookies,Arrowroot,36,2.18,78.48
7/4/2021,East,Boston,Cookies,Oatmeal Raisin,123,2.84,349.32
10/4/2021,West,Los Angeles,Bars,Carrot,90,1.77,159.3
13/4/2021,West,Los Angeles,Crackers,Whole Wheat,21,3.49,73.29
16/4/2021,East,New York,Bars,Carrot,48,1.77,84.96
19/4/2021,East,New York,Snacks,Potato Chips,24,1.68,40.32
22/4/2021,West,San Diego,Cookies,Chocolate Chip,67,1.87,125.29
25/4/2021,East,Boston,Bars,Bran,27,1.87,50.49
28/4/2021,East,Boston,Cookies,Oatmeal Raisin,129,2.84,366.36
1/5/2021,West,Los Angeles,Cookies,Arrowroot,77,2.18,167.86
4/5/2021,West,Los Angeles,Cookies,Chocolate Chip,58,1.87,108.46
7/5/2021,East,New York,Bars,Bran,47,1.87,87.89
10/5/2021,East,New York,Cookies,Oatmeal Raisin,33,2.84,93.72
13/5/2021,West,San Diego,Cookies,Chocolate Chip,82,1.87,153.34
16/5/2021,East,Boston,Bars,Carrot,58,1.77,102.66
19/5/2021,East,Boston,Snacks,Pretzels,30,3.15,94.5
22/5/2021,West,Los Angeles,Cookies,Chocolate Chip,43,1.87,80.41
25/5/2021,East,New York,Bars,Carrot,84,1.77,148.68
28/5/2021,West,San Diego,Cookies,Arrowroot,36,2.18,78.48
31/5/2021,West,San Diego,Cookies,Oatmeal Raisin,44,2.84,124.96
3/6/2021,East,Boston,Bars,Bran,27,1.87,50.49
6/6/2021,East,Boston,Cookies,Oatmeal Raisin,120,2.84,340.8
9/6/2021,East,Boston,Crackers,Whole Wheat,26,3.49,90.74
12/6/2021,West,Los Angeles,Bars,Carrot,73,1.77,129.21
15/6/2021,East,New York,Bars,Bran,38,1.87,71.06
18/6/2021,East,New York,Cookies,Oatmeal Raisin,40,2.84,113.6
21/6/2021,West,San Diego,Bars,Carrot,41,1.77,72.57
24/6/2021,East,Boston,Bars,Banana,27,2.27,61.29
27/6/2021,East,Boston,Cookies,Chocolate Chip,38,1.87,71.06
30/6/2021,East,Boston,Crackers,Whole Wheat,34,3.49,118.66
3/7/2021,West,Los Angeles,Bars,Bran,65,1.87,121.55
6/7/2021,West,Los Angeles,Cookies,Oatmeal Raisin,60,2.84,170.4
9/7/2021,East,New York,Cookies,Arrowroot,37,2.18,80.66
12/7/2021,East,New York,Cookies,Chocolate Chip,40,1.87,74.8
15/7/2021,West,San Diego,Bars,Bran,26,1.87,48.62
18/7/2021,East,Boston,Bars,Banana,22,2.27,49.94
21/7/2021,East,Boston,Cookies,Chocolate Chip,32,1.87,59.84
24/7/2021,East,Boston,Crackers,Whole Wheat,23,3.49,80.27
27/7/2021,West,Los Angeles,Cookies,Arrowroot,20,2.18,43.6
30/7/2021,West,Los Angeles,Cookies,Chocolate Chip,64,1.87,119.68
2/8/2021,East,New York,Bars,Carrot,71,1.77,125.67
5/8/2021,West,San Diego,Cookies,Arrowroot,90,2.18,196.2
8/8/2021,West,San Diego,Cookies,Oatmeal Raisin,38,2.84,107.92
11/8/2021,East,Boston,Bars,Carrot,55,1.77,97.35
14/8/2021,East,Boston,Snacks,Pretzels,22,3.15,69.3
17/8/2021,West,Los Angeles,Bars,Carrot,34,1.77,60.18
20/8/2021,East,New York,Bars,Bran,39,1.87,72.93
23/8/2021,East,New York,Cookies,Oatmeal Raisin,41,2.84,116.44
26/8/2021,West,San Diego,Bars,Carrot,41,1.77,72.57
29/8/2021,East,Boston,Cookies,Arrowroot,136,2.18,296.48
1/9/2021,East,Boston,Bars,Carrot,25,1.77,44.25
4/9/2021,East,Boston,Snacks,Pretzels,26,3.15,81.9
7/9/2021,West,Los Angeles,Bars,Bran,50,1.87,93.5
10/9/2021,West,Los Angeles,Cookies,Oatmeal Raisin,79,2.84,224.36
13/9/2021,East,New York,Bars,Carrot,30,1.77,53.1
16/9/2021,East,New York,Snacks,Potato Chips,20,1.68,33.6
19/9/2021,West,San Diego,Bars,Carrot,49,1.77,86.73
22/9/2021,East,Boston,Cookies,Arrowroot,40,2.18,87.2
25/9/2021,East,Boston,Bars,Carrot,31,1.77,54.87
28/9/2021,East,Boston,Snacks,Pretzels,21,3.15,66.15
1/10/2021,West,Los Angeles,Bars,Bran,43,1.87,80.41
4/10/2021,West,Los Angeles,Cookies,Oatmeal Raisin,47,2.84,133.48
7/10/2021,East,New York,Cookies,Arrowroot,175,2.18,381.5
10/10/2021,East,New York,Cookies,Chocolate Chip,23,1.87,43.01
13/10/2021,West,San Diego,Bars,Carrot,40,1.77,70.8
16/10/2021,East,Boston,Cookies,Arrowroot,87,2.18,189.66
19/10/2021,East,Boston,Bars,Carrot,43,1.77,76.11
22/10/2021,East,Boston,Crackers,Whole Wheat,30,3.49,104.7
25/10/2021,West,Los Angeles,Bars,Carrot,35,1.77,61.95
28/10/2021,East,New York,Bars,Bran,57,1.87,106.59
31/10/2021,East,New York,Snacks,Potato Chips,25,1.68,42
3/11/2021,West,San Diego,Cookies,Chocolate Chip,24,1.87,44.88
6/11/2021,East,Boston,Bars,Bran,83,1.87,155.21
9/11/2021,East,Boston,Cookies,Oatmeal Raisin,124,2.84,352.16
12/11/2021,West,Los Angeles,Bars,Carrot,137,1.77,242.49
15/11/2021,East,New York,Cookies,Arrowroot,146,2.18,318.28
18/11/2021,East,New York,Cookies,Chocolate Chip,34,1.87,63.58
21/11/2021,West,San Diego,Bars,Carrot,20,1.77,35.4
24/11/2021,East,Boston,Cookies,Arrowroot,139,2.18,303.02
27/11/2021,East,Boston,Cookies,Chocolate Chip,211,1.87,394.57
30/11/2021,East,Boston,Crackers,Whole Wheat,20,3.49,69.8
3/12/2021,West,Los Angeles,Bars,Bran,42,1.87,78.54
6/12/2021,West,Los Angeles,Cookies,Oatmeal Raisin,100,2.84,284
9/12/2021,East,New York,Bars,Carrot,38,1.77,67.26
12/12/2021,East,New York,Crackers,Whole Wheat,25,3.49,87.25
15/12/2021,West,San Diego,Cookies,Chocolate Chip,96,1.87,179.52
18/12/2021,East,Boston,Cookies,Arrowroot,34,2.18,74.12
21/12/2021,East,Boston,Cookies,Chocolate Chip,245,1.87,458.15
24/12/2021,East,Boston,Crackers,Whole Wheat,30,3.49,104.7
27/12/2021,West,Los Angeles,Bars,Bran,30,1.87,56.1
30/12/2021,West,Los Angeles,Cookies,Oatmeal Raisin,44,2.84,124.96
